Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
9.55425783333705e+03,1.21459804760523e+00,-3.56923552943862e+01,-1.21960341535026e+01,3.37195396290573e-02
9.89118800819057e+03,1.21179887728300e+00,-3.69576469516473e+01,-1.21960340507204e+01,3.25709285819161e-02
1.02400000000002e+04,1.20878979024657e+00,-3.82679445614354e+01,-1.21960339548212e+01,3.14614434180438e-02
1.06011128201359e+04,1.20555438632995e+00,-3.96248885316321e+01,-1.21960338653441e+01,3.03897513687536e-02
1.09749602563718e+04,1.20207489021860e+00,-4.10301824944352e+01,-1.21960337818590e+01,2.93545650641027e-02
1.13619913939749e+04,1.19833202335498e+00,-4.24855961255318e+01,-1.21960337039646e+01,2.83546409864696e-02
1.17626711551698e+04,1.19430486226547e+00,-4.39929681246035e+01,-1.21960336312866e+01,2.73887779768047e-02
1.21774808576281e+04,1.18997068167607e+00,-4.55542093695369e+01,-1.21960335634756e+01,2.64558157917626e-02
1.26069187926521e+04,1.18530478056167e+00,-4.71713062572485e+01,-1.21960335002057e+01,2.55546337099802e-02
1.30515008237494e+04,1.18028028902433e+00,-4.88463242457314e+01,-1.21960334411728e+01,2.46841491858299e-02
1.35117610063146e+04,1.17486795360582e+00,-5.05814116129155e+01,-1.21960333860932e+01,2.38433165490284e-02
1.39882522291652e+04,1.16903589831039e+00,-5.23788034494440e+01,-1.21960333347020e+01,2.30311257485400e-02
1.44815468787007e+04,1.16274935822758e+00,-5.42408259039347e+01,-1.21960332867524e+01,2.22466011392666e-02
1.49922375264834e+04,1.15597038220819e+00,-5.61699007010238e+01,-1.21960332420138e+01,2.14888003100658e-02
1.55209376410667e+04,1.14865750053233e+00,-5.81685499542032e+01,-1.21960332002713e+01,2.07568129516898e-02
1.60682823249257e+04,1.14076535292102e+00,-6.02394012975078e+01,-1.21960331613241e+01,2.00497597632861e-02
1.66349290773760e+04,1.13224427155577e+00,-6.23851933620690e+01,-1.21960331249851e+01,1.93667913961455e-02
1.72215585843964e+04,1.12303981297554e+00,-6.46087816260369e+01,-1.21960330910796e+01,1.87070874334289e-02
1.78288755363049e+04,1.11309223179178e+00,-6.69131446685313e+01,-1.21960330594446e+01,1.80698554046486e-02
1.84576094742701e+04,1.10233588808066e+00,-6.93013908610620e+01,-1.21960330299282e+01,1.74543298337179e-02
1.91085156666741e+04,1.09069857904602e+00,-7.17767655325284e+01,-1.21960330023884e+01,1.68597713194289e-02
1.97823760163812e+04,1.07810078406375e+00,-7.43426586466836e+01,-1.21960329766928e+01,1.62854656472501e-02
2.04800000000003e+04,1.06445481047544e+00,-7.70026130339827e+01,-1.21960329527180e+01,1.57307229313808e-02
2.12022256402718e+04,1.04966382545293e+00,-7.97603332227350e+01,-1.21960329303487e+01,1.51948767860283e-02
2.19499205127437e+04,1.03362075683238e+00,-8.26196949173705e+01,-1.21960329094774e+01,1.46772835249153e-02
2.27239827879498e+04,1.01620704295970e+00,-8.55847551745842e+01,-1.21960328900038e+01,1.41773213880539e-02
2.35253423103397e+04,9.97291208189989e-01,-8.86597633307933e+01,-1.21960328718343e+01,1.36943897948585e-02
2.43549617152561e+04,9.76727236640598e-01,-9.18491727364871e+01,-1.21960328548816e+01,1.32279086227003e-02
2.52138375853043e+04,9.54352711958677e-01,-9.51576533548246e+01,-1.21960328390641e+01,1.27773175100360e-02
2.61030016474989e+04,9.29986685048721e-01,-9.85901052824474e+01,-1.21960328243059e+01,1.23420751832754e-02
2.70235220126293e+04,9.03427224670070e-01,-1.02151673249858e+02,-1.21960328105359e+01,1.19216588065768e-02
2.79765044583305e+04,8.74448597249336e-01,-1.05847762156164e+02,-1.21960327976882e+01,1.15155633537917e-02
2.89630937574015e+04,8.42798011728740e-01,-1.09684053687347e+02,-1.21960327857008e+01,1.11233010018025e-02
2.99844750529669e+04,8.08191852237588e-01,-1.13666524057565e+02,-1.21960327745161e+01,1.07444005445255e-02
3.10418752821335e+04,7.70311305050454e-01,-1.17801462896587e+02,-1.21960327640805e+01,1.03784068268753e-02
3.21365646498515e+04,7.28797265665418e-01,-1.22095493280143e+02,-1.21960327543437e+01,1.00248801980094e-02
3.32698581547520e+04,6.83244385496779e-01,-1.26555592857780e+02,-1.21960327452589e+01,9.68339598319807e-03
3.44431171687928e+04,6.33194083783270e-01,-1.31189115965309e+02,-1.21960327367825e+01,9.35354397368380e-03
3.56577510726099e+04,5.78126306461336e-01,-1.36003816500882e+02,-1.21960327288738e+01,9.03492793391800e-03
3.69152189485403e+04,5.17449756924615e-01,-1.41007871170151e+02,-1.21960327214947e+01,8.72716512558291e-03
3.82170313333483e+04,4.50490250234756e-01,-1.46209902427426e+02,-1.21960327146097e+01,8.42988584782699e-03
3.95647520327624e+04,3.76476748705540e-01,-1.51618999994060e+02,-1.21960327081858e+01,8.14273299316158e-03
4.09600000000007e+04,2.94524519777399e-01,-1.57244739127103e+02,-1.21960327021921e+01,7.86536161848526e-03
4.24044512805436e+04,2.03614716193269e-01,-1.63097192697850e+02,-1.21960326965998e+01,7.59743853072059e-03
